ref,nama,alamat,kota,provinsi
jbk-101,PT. Chakraprima Gitanusa,"Jl. Jababeka XVIIE Blok U 26 A, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-102,PT. Champion Kurnia Djaja Technologies,"Jl. Jababeka VIIC Blok R 2 M, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-103,"PT. Chandra Silamas, qq (Lamberti Indonesia)","Jl. Industri Selatan 3A Blok GG 2 A, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-104,PT. Chang Chun Duta Pertiwi Nusa Chemical Industry,"Jl. Jababeka XI Blok G 18-23, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-105,PT. Cheh Hwa Indonesia,"Jl. Industri Selatan 2 Blok MM 3, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-106,PT. Chemco Harapan Nusantara,"Jl. Jababeka Raya Blok F 19-28, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-107,PT. Chemoko Eka Perkasa,"Jl. Jababeka XIV Blok J 11 H, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-108,PT. Cheong Huat Plastic,"Jl. Jababeka IV Blok T 1 C, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-109,PT. Chertechs Indonesia,"Jl. Jababeka II Blok C 12 F, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-110,PT. Chin Seob Lim (Alimindo Sejati),"Jl. Industri Selatan Blok HH 10, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-111,PT. Chiyoda Kogyo Indonesia,"Jl. Industri Selatan 2 Blok JJ 18, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-112,PT. Cho Yong Ho,"Jl. Industri Selatan 4 Blok GG 3 G, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-113,PT. Chon Poong Indonesia,"Jl. Jababeka VIIB Blok K 2 O, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-114,PT. Christine Setyadi (Amerika),"Jl. Jababeka III Blok C 17 BS, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-115,PT. Cigweld,"Jl. Jababeka IXD Blok P3, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-116,PT. Cika Tunas Mulia,"Jl. Jababeka II A Blok C 11 F, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-117,PT. Cikarang Asri Tehnik Utama,"Jl. Jababeka IIA Blok C 11 G, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-118,PT. Cikarang Listrindo,"Jl. Jababeka Raya Blok R, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-119,PT. Cikarang Presisi,"Jl. Jababeka IIG Blok CC 23, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-120,PT. Cikarang Primatex,"Jl. Jababeka XIA Blok K 5 E, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
